brand_name,generic_name,application_number,sponsor_name,dosage_form,route,marketing_status
NORETHINDRONE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,ETHINYL ESTRADIOL; NORETHINDRONE,ANDA078892,AMNEAL PHARMS,TABLET,ORAL,Prescription
NORETHINDRONE AND MESTRANOL,MESTRANOL; NORETHINDRONE,ANDA070759,WATSON LABS,TABLET,ORAL-28,Discontinued
NORFLEX,ORPHENADRINE CITRATE,NDA013055,PAI HOLDINGS PHARM,INJECTABLE,INJECTION,Discontinued
NORGESIC,ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,NDA013416,BAUSCH,TABLET,ORAL,Discontinued
NORGESIC FORTE,ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,NDA013416,BAUSCH,TABLET,ORAL,Discontinued
NORGESTIMATE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; NORGESTIMATE,ANDA200494,GLENMARK PHARMS LTD,TABLET,ORAL-28,Prescription
NORGESTIMATE; ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; NORGESTIMATE,ANDA200494,GLENMARK PHARMS LTD,TABLET,ORAL,Prescription
NORGESTREL AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; NORGESTREL,ANDA201828,MYLAN LABS LTD,TABLET,ORAL-28,Discontinued
NORINYL,MESTRANOL; NORETHINDRONE,NDA013625,ACTAVIS LABS UT INC,TABLET,ORAL-20,Discontinued
NORINYL 1+35 21-DAY,ETHINYL ESTRADIOL; NORETHINDRONE,NDA017565,ALLERGAN,TABLET,ORAL-21,Discontinued
NORINYL 1+35 28-DAY,ETHINYL ESTRADIOL; NORETHINDRONE,NDA017565,ALLERGAN,TABLET,ORAL-28,Discontinued
NORINYL 1+50 21-DAY,MESTRANOL; NORETHINDRONE,NDA013625,ACTAVIS LABS UT INC,TABLET,ORAL-21,Discontinued
NORINYL 1+50 28-DAY,MESTRANOL; NORETHINDRONE,NDA016659,ACTAVIS LABS UT INC,TABLET,ORAL-28,Discontinued
NORINYL 1+80 21-DAY,MESTRANOL; NORETHINDRONE,NDA016724,GD SEARLE LLC,TABLET,ORAL-21,Discontinued
NORINYL 1+80 28-DAY,MESTRANOL; NORETHINDRONE,NDA016725,GD SEARLE LLC,TABLET,ORAL-28,Discontinued
NORISODRINE,ISOPROTERENOL SULFATE,NDA006905,ABBVIE,POWDER,INHALATION,Discontinued
NORISODRINE AEROTROL,ISOPROTERENOL HYDROCHLORIDE,NDA016814,ABBOTT,DISC,INHALATION,Discontinued
NORITATE,METRONIDAZOLE,NDA020743,BAUSCH,CREAM,TOPICAL,Prescription
NORLESTRIN 21 1/50,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,NDA016749,PARKE DAVIS,TABLET,ORAL-21,Discontinued
NORLESTRIN 21 2.5/50,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,NDA016852,PARKE DAVIS,TABLET,ORAL-21,Discontinued
NORLESTRIN 28 1/50,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,NDA016723,PARKE DAVIS,TABLET,ORAL-28,Discontinued
NORLESTRIN FE 1/50,ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE ACETATE,NDA016766,PARKE DAVIS,TABLET,ORAL-28,Discontinued
NORLESTRIN FE 2.5/50,ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE ACETATE,NDA016854,PARKE DAVIS,TABLET,ORAL-28,Discontinued
NORLIQVA,AMLODIPINE BESYLATE,NDA214439,CMP DEV LLC,SOLUTION,ORAL,Prescription
NORLUTATE,NORETHINDRONE ACETATE,NDA012184,PARKE DAVIS,TABLET,ORAL,Discontinued
NORLUTIN,NORETHINDRONE,NDA010895,PARKE DAVIS,TABLET,ORAL,Discontinued
NORMIFLO,ARDEPARIN SODIUM,NDA020227,PHARMACIA AND UPJOHN,INJECTABLE,INJECTION,Discontinued
NORMINEST FE,ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE,NDA017948,GD SEARLE LLC,TABLET,ORAL,Prescription
NORMOCARB HF 25,MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,NDA021910,DIALYSIS SUPS,SOLUTION,INJECTION,Prescription
NORMOCARB HF 35,MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,NDA021910,DIALYSIS SUPS,SOLUTION,INJECTION,Prescription
NORMODYNE,LABETALOL HYDROCHLORIDE,NDA018686,SCHERING,INJECTABLE,INJECTION,Discontinued
NORMOSOL-M AND DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE,NDA017610,OTSUKA ICU MEDCL,INJECTABLE,INJECTION,Prescription
NORMOSOL-R AND DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,NDA017609,OTSUKA ICU MEDCL,INJECTABLE,INJECTION,Prescription
NORMOSOL-R IN PLASTIC CONTAINER,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,NDA017586,OTSUKA ICU MEDCL,INJECTABLE,INJECTION,Prescription
NORMOZIDE,HYDROCHLOROTHIAZIDE; LABETALOL HYDROCHLORIDE,NDA019046,SCHERING,TABLET,ORAL,Discontinued
NOROXIN,NORFLOXACIN,NDA019384,MERCK,TABLET,ORAL,Discontinued
NORPACE,DISOPYRAMIDE PHOSPHATE,NDA017447,PFIZER,CAPSULE,ORAL,Prescription
NORPACE CR,DISOPYRAMIDE PHOSPHATE,NDA018655,PFIZER,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
NORPLANT,LEVONORGESTREL,NDA019897,POPULATION COUNCIL,IMPLANT,IMPLANTATION,Discontinued
NORPLANT SYSTEM IN PLASTIC CONTAINER,LEVONORGESTREL,NDA020088,WYETH PHARMS INC,IMPLANT,IMPLANTATION,Discontinued
NORPRAMIN,DESIPRAMINE HYDROCHLORIDE,NDA014399,VALIDUS PHARMS,TABLET,ORAL,Discontinued
NORQUEST FE,ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE,NDA018926,PFIZER,TABLET,ORAL-28,Discontinued
NORTHERA,DROXIDOPA,NDA203202,LUNDBECK NA LTD,CAPSULE,ORAL,Prescription
NORTREL 0.5/35-21,ETHINYL ESTRADIOL; NORETHINDRONE,ANDA072692,BARR,TABLET,ORAL-21,Discontinued
NORTREL 0.5/35-28,ETHINYL ESTRADIOL; NORETHINDRONE,ANDA072695,BARR LABS,TABLET,ORAL-28,Prescription
NORTREL 1/35-21,ETHINYL ESTRADIOL; NORETHINDRONE,ANDA072693,BARR,TABLET,ORAL-21,Prescription
NORTREL 1/35-28,ETHINYL ESTRADIOL; NORETHINDRONE,ANDA072696,BARR LABS,TABLET,ORAL-28,Prescription
NORTREL 7/7/7,ETHINYL ESTRADIOL; NORETHINDRONE,ANDA075478,BARR,TABLET,ORAL-28,Prescription
NORTRIPTYLINE HYDROCHLORIDE,NORTRIPTYLINE HYDROCHLORIDE,ANDA077965,TARO,SOLUTION,ORAL,Discontinued
NORVASC,AMLODIPINE BESYLATE,NDA019787,VIATRIS,TABLET,ORAL,Prescription
NORVIR,RITONAVIR,NDA020680,ABBOTT,CAPSULE,ORAL,Discontinued
NOURESS,CYSTEINE HYDROCHLORIDE,NDA212535,BAXTER HLTHCARE CORP,SOLUTION,INTRAVENOUS,Discontinued
NOURIANZ,ISTRADEFYLLINE,NDA022075,KYOWA KIRIN,TABLET,ORAL,Prescription
NOVAFED,PSEUDOEPHEDRINE HYDROCHLORIDE,NDA017603,SANOFI AVENTIS US,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
NOVAMINE 11.4%,AMINO ACIDS,NDA017957,HOSPIRA INC,INJECTABLE,INJECTION,Discontinued
NOVAMINE 15%,AMINO ACIDS,NDA017957,HOSPIRA INC,INJECTABLE,INJECTION,Discontinued
NOVAMINE 15% SULFITE FREE IN PLASTIC CONTAINER,AMINO ACIDS,NDA020107,BAXTER HLTHCARE,INJECTABLE,INJECTION,Discontinued
NOVAMINE 8.5%,AMINO ACIDS,NDA017957,HOSPIRA INC,INJECTABLE,INJECTION,Discontinued
NOVANTRONE,MITOXANTRONE HYDROCHLORIDE,NDA019297,EMD SERONO,INJECTABLE,INJECTION,Discontinued
NOVOCAIN,PROCAINE HYDROCHLORIDE,ANDA086797,HOSPIRA,INJECTABLE,INJECTION,Discontinued
NOVOLIN 70/30,INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,BLA019991,NOVO NORDISK INC,INJECTABLE,INJECTION,Over-the-counter
NOVOLIN N,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,BLA019959,NOVO NORDISK INC,INJECTABLE,INJECTION,Over-the-counter
NOVOLIN R,INSULIN RECOMBINANT HUMAN,BLA019938,NOVO NORDISK INC,INJECTABLE,INJECTION,Over-the-counter
NOVOLOG,INSULIN ASPART RECOMBINANT,BLA020986,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Prescription
NOVOLOG FLEXPEN,INSULIN ASPART RECOMBINANT,BLA020986,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Prescription
NOVOLOG FLEXTOUCH,INSULIN ASPART RECOMBINANT,BLA020986,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Discontinued
NOVOLOG INNOLET,INSULIN ASPART RECOMBINANT,BLA020986,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Discontinued
NOVOLOG MIX 50/50,INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT,BLA021810,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Discontinued
NOVOLOG MIX 70/30,INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT,BLA021172,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Prescription
NOVOLOG MIX 70/30 FLEXPEN,INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT,BLA021172,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Prescription
NOVOLOG MIX 70/30 PENFILL,INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT,BLA021172,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Discontinued
NOVOLOG PENFILL,INSULIN ASPART RECOMBINANT,BLA020986,NOVO NORDISK INC,INJECTABLE,SUBCUTANEOUS,Prescription
NOVRAD,LEVOPROPOXYPHENE NAPSYLATE ANHYDROUS,NDA012928,LILLY,CAPSULE,ORAL,Discontinued
NOXAFIL,POSACONAZOLE,NDA205596,MERCK SHARP DOHME,SOLUTION,INTRAVENOUS,Discontinued
NOXAFIL POWDERMIX KIT,POSACONAZOLE,NDA214770,MSD MERCK CO,"FOR SUSPENSION, DELAYED RELEASE",ORAL,Prescription
NOXIVENT,NITRIC OXIDE,ANDA207141,VERO BIOTECH INC,GAS,INHALATION,Discontinued
NPLATE,ROMIPLOSTIM,BLA125268,AMGEN,INJECTABLE,SUBCUTANEOUS,Prescription
NUBAIN,NALBUPHINE HYDROCHLORIDE,NDA018024,PH HEALTH,SOLUTION,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",Discontinued
NUBEQA,DAROLUTAMIDE,NDA212099,BAYER HEALTHCARE,TABLET,ORAL,Prescription
NUCALA,MEPOLIZUMAB,BLA761122,GLAXOSMITHKLINE,INJECTABLE,SUBCUTANEOUS,Prescription
NUCYNTA,TAPENTADOL HYDROCHLORIDE,NDA203794,COLLEGIUM PHARM INC,SOLUTION,ORAL,Discontinued
NUCYNTA ER,TAPENTADOL HYDROCHLORIDE,NDA200533,COLLEGIUM PHARM INC,"TABLET, EXTENDED RELEASE",ORAL,Prescription
NUEDEXTA,DEXTROMETHORPHAN HYDROBROMIDE; QUINIDINE SULFATE,NDA021879,OTSUKA AMERICA PHARM,CAPSULE,ORAL,Prescription
NUFYMCO,RANIBIZUMAB-LEYK,BLA761473,FORMYCON AG,INJECTION,,Prescription
NULIBRY,FOSDENOPTERIN HYDROBROMIDE,NDA214018,SENTYNL THERAPS INC,POWDER,INTRAVENOUS,Prescription
NULOJIX,BELATACEPT,BLA125288,BRISTOL MYERS SQUIBB,INJECTABLE,INJECTION,Prescription
NULYTELY,POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,NDA019797,AZURITY,FOR SOLUTION,ORAL,Prescription
NULYTELY-FLAVORED,POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,NDA019797,AZURITY,FOR SOLUTION,ORAL,Prescription
NUMBRINO,COCAINE HYDROCHLORIDE,NDA209575,OMNIVIUM PHARMS,SOLUTION,NASAL,Prescription
NUMORPHAN,OXYMORPHONE HYDROCHLORIDE,NDA011738,ENDO PHARMS,SUPPOSITORY,RECTAL,Discontinued
NUPLAZID,PIMAVANSERIN TARTRATE,NDA207318,ACADIA PHARMS INC,TABLET,ORAL,Discontinued
NUPRIN,IBUPROFEN,ANDA072035,BRISTOL MYERS,TABLET,ORAL,Discontinued
NUROMAX,DOXACURIUM CHLORIDE,NDA019946,ABBVIE,INJECTABLE,INJECTION,Discontinued
NURTEC ODT,RIMEGEPANT SULFATE,NDA212728,PFIZER,"TABLET, ORALLY DISINTEGRATING",ORAL,Prescription
NUTRACORT,HYDROCORTISONE,ANDA080442,BAUSCH,CREAM,TOPICAL,Discontinued
NUTRESTORE,L-GLUTAMINE,NDA021667,EMMAUS MEDCL,FOR SOLUTION,ORAL,Discontinued
NUTRILIPID 10%,SOYBEAN OIL,NDA019531,B BRAUN,INJECTABLE,INJECTION,Discontinued
NUTRILIPID 20%,SOYBEAN OIL,NDA019531,B BRAUN,INJECTABLE,INJECTION,Prescription
NUTROPIN,SOMATROPIN,BLA020168,GENENTECH,INJECTABLE,INJECTION,Discontinued
NUTROPIN,SOMATROPIN [rDNA origin],BLA019676,GENENTECH,Injectable,Injection,Prescription
NUTROPIN AQ,SOMATROPIN,BLA020522,GENENTECH,INJECTABLE,INJECTION,Discontinued
NUTROPIN AQ NUSPIN,SOMATROPIN,BLA020522,GENENTECH,INJECTABLE,INJECTION,Prescription
NUTROPIN AQ PEN,SOMATROPIN,BLA020522,GENENTECH,INJECTABLE,INJECTION,Discontinued
NUVARING,ETHINYL ESTRADIOL; ETONOGESTREL,NDA021187,ORGANON USA ORGANON,RING,VAGINAL,Prescription
NUVESSA,METRONIDAZOLE,NDA205223,ALEMBIC THERAP,GEL,VAGINAL,Prescription
NUVIGIL,ARMODAFINIL,NDA021875,NUVO PHARMS,TABLET,ORAL,Prescription
NUZOLVENCE,ZOLIFLODACIN,NDA219491,ENTASIS THERAP,FOR SUSPENSION,ORAL,Prescription
NUZYRA,OMADACYCLINE TOSYLATE,NDA209817,PARATEK PHARMS,POWDER,INTRAVENOUS,Prescription
NYDRAZID,ISONIAZID,NDA008662,SANDOZ,INJECTABLE,INJECTION,Discontinued
NYLIA 1/35,ETHINYL ESTRADIOL; NORETHINDRONE,ANDA207056,AUROBINDO PHARMA,TABLET,ORAL-28,Prescription
NYLIA 7/7/7,ETHINYL ESTRADIOL; NORETHINDRONE,ANDA207054,AUROBINDO PHARMA,TABLET,ORAL-28,Prescription
NYMALIZE,NIMODIPINE,NDA203340,AZURITY,SOLUTION,ORAL,Discontinued
NYPOZI,FILGRASTIM-TXID,BLA761126,TANVEX BIOPHARMA USA INC,INJECTABLE,INJECTION,Prescription
NYSERT,NYSTATIN,NDA050478,WARNER CHILCOTT,SUPPOSITORY,VAGINAL,Discontinued
NYSTAFORM,CLIOQUINOL; NYSTATIN,NDA050235,BAYER PHARMS,OINTMENT,TOPICAL,Discontinued
NYSTATIN,NYSTATIN,ANDA212557,TORRENT,CREAM,TOPICAL,Prescription
NYSTATIN AND TRIAMCINOLONE ACETONIDE,NYSTATIN; TRIAMCINOLONE ACETONIDE,ANDA207217,EPIC PHARMA LLC,OINTMENT,TOPICAL,Prescription
NYSTATIN TRIAMCINOLONE ACETONIDE,NYSTATIN; TRIAMCINOLONE ACETONIDE,ANDA062596,PHARMADERM,CREAM,TOPICAL,Discontinued
NYSTATIN-TRIAMCINOLONE ACETONIDE,NYSTATIN; TRIAMCINOLONE ACETONIDE,ANDA062603,PHARMADERM,OINTMENT,TOPICAL,Discontinued
NYSTEX,NYSTATIN,ANDA062519,SAVAGE LABS,SUSPENSION,ORAL,Discontinued
NYSTOP,NYSTATIN,ANDA064118,PADAGIS US,POWDER,TOPICAL,Prescription
NYVEPRIA,PEGFILGRASTIM-APGF,BLA761111,HOSPIRA INC,INJECTABLE,INJECTION,Prescription
"Nitrogen, NF",Nitrogen,NDA214858,AIR LIQUIDE CANADA INC,GAS,INHALATION,Prescription
OBESTIN-30,PHENTERMINE HYDROCHLORIDE,ANDA087144,FERNDALE LABS,CAPSULE,ORAL,Discontinued
OBETICHOLIC ACID,OBETICHOLIC ACID,ANDA214980,LUPIN,TABLET,ORAL,Discontinued
OBREDON,GUAIFENESIN; HYDROCODONE BITARTRATE,NDA205474,SOVEREIGN PHARMS,SOLUTION,ORAL,Discontinued
OBY-TRIM,PHENTERMINE HYDROCHLORIDE,ANDA087764,SHIRE RICHWOOD,CAPSULE,ORAL,Discontinued
OCALIVA,OBETICHOLIC ACID,NDA207999,INTERCEPT,TABLET,ORAL,Discontinued
OCL,POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE,NDA019284,HOSPIRA,SOLUTION,ORAL,Discontinued
OCREVUS,OCRELIZUMAB,BLA761053,GENENTECH INC,INJECTABLE,INJECTION,Prescription
OCREVUS ZUNOVO,OCRELIZUMAB AND HYALURONIDASE-OCSQ,BLA761371,GENENTECH INC,INJECTABLE,INJECTION,Prescription
OCTOCAINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,ANDA084048,SEPTODONT,INJECTABLE,INJECTION,Discontinued
OCTREOSCAN,INDIUM IN-111 PENTETREOTIDE KIT,NDA020314,CURIUM,INJECTABLE,INJECTION,Prescription
OCTREOTIDE ACETATE,OCTREOTIDE ACETATE,ANDA076330,WEST-WARD PHARMS INT,INJECTABLE,INJECTION,Prescription
OCTREOTIDE ACETATE (PRESERVATIVE FREE),OCTREOTIDE ACETATE,ANDA076313,WEST-WARD PHARMS INT,INJECTABLE,INJECTION,Prescription
OCTREOTIDE ACETATE PRESERVATIVE FREE,OCTREOTIDE ACETATE,ANDA090985,WOCKHARDT USA,INJECTABLE,INJECTION,Discontinued
OCUCLEAR,OXYMETAZOLINE HYDROCHLORIDE,NDA018471,BAYER HEALTHCARE LLC,SOLUTION/DROPS,OPHTHALMIC,Discontinued
OCUFEN,FLURBIPROFEN SODIUM,NDA019404,ALLERGAN,SOLUTION/DROPS,OPHTHALMIC,Discontinued
OCUFLOX,OFLOXACIN,NDA019921,ALLERGAN,SOLUTION/DROPS,OPHTHALMIC,Prescription
OCUMYCIN,BACITRACIN ZINC; POLYMYXIN B SULFATE,ANDA062430,PHARMAFAIR,OINTMENT,OPHTHALMIC,Discontinued
OCUPRESS,CARTEOLOL HYDROCHLORIDE,NDA019972,NOVARTIS,SOLUTION/DROPS,OPHTHALMIC,Discontinued
OCUSERT PILO-20,PILOCARPINE,NDA017431,EPIC PHARMA LLC,"INSERT, EXTENDED RELEASE",OPHTHALMIC,Discontinued
OCUSERT PILO-40,PILOCARPINE,NDA017548,EPIC PHARMA LLC,"INSERT, EXTENDED RELEASE",OPHTHALMIC,Discontinued
OCUSULF-10,SULFACETAMIDE SODIUM,ANDA080660,MIZA PHARMS USA,SOLUTION/DROPS,OPHTHALMIC,Discontinued
OCUSULF-30,SULFACETAMIDE SODIUM,ANDA080660,MIZA PHARMS USA,SOLUTION/DROPS,OPHTHALMIC,Discontinued
ODEFSEY,EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR ALAFENAMIDE FUMARATE,NDA208351,GILEAD SCIENCES INC,TABLET,ORAL,Prescription
ODOMZO,SONIDEGIB PHOSPHATE,NDA205266,SUN PHARM,CAPSULE,ORAL,Prescription
OFEV,NINTEDANIB ESYLATE,NDA205832,BOEHRINGER INGELHEIM,CAPSULE,ORAL,Prescription
OFIRMEV,ACETAMINOPHEN,NDA022450,MALLINCKRODT HOSP,SOLUTION,INTRAVENOUS,Discontinued
OFLOXACIN,OFLOXACIN,ANDA076513,APOTEX INC,SOLUTION/DROPS,OPHTHALMIC,Prescription
OFORTA,FLUDARABINE PHOSPHATE,NDA022273,SANOFI AVENTIS US,TABLET,ORAL,Discontinued
OGEN,ESTROPIPATE,ANDA084710,PHARMACIA AND UPJOHN,CREAM,VAGINAL,Discontinued
OGEN .625,ESTROPIPATE,ANDA083220,PFIZER,TABLET,ORAL,Discontinued
OGEN 1.25,ESTROPIPATE,ANDA083220,PFIZER,TABLET,ORAL,Discontinued
OGEN 2.5,ESTROPIPATE,ANDA083220,PFIZER,TABLET,ORAL,Discontinued
OGEN 5,ESTROPIPATE,ANDA083220,PFIZER,TABLET,ORAL,Prescription
OGESTREL 0.5/50-21,ETHINYL ESTRADIOL; NORGESTREL,ANDA075406,WATSON LABS,TABLET,ORAL-21,Discontinued
OGESTREL 0.5/50-28,ETHINYL ESTRADIOL; NORGESTREL,ANDA075406,WATSON LABS,TABLET,ORAL-28,Discontinued
OGIVRI,TRASTUZUMAB-DKST,BLA761074,MYLAN GMBH,INJECTABLE,INJECTION,Prescription
OGSIVEO,NIROGACESTAT HYDROBROMIDE,NDA217677,SPRINGWORKS,TABLET,ORAL,Prescription
OHTUVAYRE,ENSIFENTRINE,NDA217389,MSD,SUSPENSION,INHALATION,Prescription
OJEMDA,TOVORAFENIB,NDA217700,DAY ONE BIOPHARMS,TABLET,ORAL,Prescription
OJJAARA,MOMELOTINIB DIHYDROCHLORIDE,NDA216873,GLAXOSMITHKLINE,TABLET,ORAL,Prescription
OLANZAPINE,OLANZAPINE,ANDA077301,IVAX PHARMS INC,TABLET,ORAL,Discontinued
OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,ANDA078901,EPIC PHARMA LLC,CAPSULE,ORAL,Prescription
OLAPARIB,OLAPARIB,ANDA219893,ZYDUS PHARMS USA INC,TABLET,,None (Tentative Approval)
OLEPTRO,TRAZODONE HYDROCHLORIDE,NDA022411,ANGELINI PHARMA,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
OLINVYK,OLICERIDINE,NDA210730,TREVENA,SOLUTION,INTRAVENOUS,Discontinued
OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,ANDA207662,ACCORD HLTHCARE,TABLET,ORAL,Prescription
OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,ANDA207037,ALKEM LABS LTD,TABLET,ORAL,Prescription
"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE",AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,ANDA206137,PH HEALTH,TABLET,ORAL,Prescription
OLOPATADINE HYDROCHLORIDE,OLOPATADINE HYDROCHLORIDE,ANDA217051,FDC LTD,SOLUTION/DROPS,OPHTHALMIC,Discontinued
OLPRUVA,SODIUM PHENYLBUTYRATE,NDA214860,ACER,FOR SUSPENSION,ORAL,Prescription
OLUMIANT,BARICITINIB,ANDA217585,MSN,TABLET,ORAL,Prescription
OLUX,CLOBETASOL PROPIONATE,NDA021142,QUAGEN,"AEROSOL, FOAM",TOPICAL,Discontinued
OLUX E,CLOBETASOL PROPIONATE,NDA022013,QUAGEN,"AEROSOL, FOAM",TOPICAL,Discontinued
OLYSIO,SIMEPREVIR SODIUM,NDA205123,JANSSEN PRODS,CAPSULE,ORAL,Discontinued
OMACOR,OMEGA-3ACID ETHYL ESTERS,NDA021853,RELIANT PHARMS,CAPSULE,ORAL,Prescription
OMECLAMOX-PAK,AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE,NDA050824,CUMBERLAND,"CAPSULE, TABLET, CAPSULE, DELAYED RELEASE",ORAL,Discontinued
OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,ANDA091028,GLW,CAPSULE,ORAL,Prescription
OMEGAVEN,FISH OIL TRIGLYCERIDES,NDA210589,FRESENIUS KABI USA,EMULSION,INTRAVENOUS,Prescription
OMEPRAZOLE,OMEPRAZOLE,ANDA203481,BRECKENRIDGE,"CAPSULE, DELAYED REL PELLETS",ORAL,Prescription
OMEPRAZOLE AND SODIUM BICARBONATE,OMEPRAZOLE; SODIUM BICARBONATE,ANDA219161,NOVITIUM PHARMA,FOR SUSPENSION,ORAL,Prescription
OMEPRAZOLE MAGNESIUM,OMEPRAZOLE MAGNESIUM,ANDA206877,AUROBINDO PHARMA,"TABLET, DELAYED RELEASE",ORAL,Over-the-counter
OMIDRIA,KETOROLAC TROMETHAMINE; PHENYLEPHRINE HYDROCHLORIDE,NDA205388,RAYNER SURGICAL,SOLUTION,IRRIGATION,Prescription
OMLONTI,OMIDENEPAG ISOPROPYL,NDA215092,OCUVEX THERAP,SOLUTION,OPHTHALMIC,Prescription
OMLYCLO,OMALIZUMAB-IGEC,BLA761399,CELLTRION INC,INJECTABLE,INJECTION,Prescription
OMNARIS,CICLESONIDE,NDA022124,NYCOMED US INC,SPRAY,NASAL,Prescription
OMNICEF,CEFDINIR,NDA050749,ABBVIE,FOR SUSPENSION,ORAL,Discontinued
OMNIPAQUE 12,IOHEXOL,NDA018956,GE HEALTHCARE,SOLUTION,ORAL,Prescription
OMNIPAQUE 140,IOHEXOL,NDA018956,GE HEALTHCARE,INJECTABLE,INJECTION,Prescription
OMNIPAQUE 180,IOHEXOL,NDA018956,GE HEALTHCARE,SOLUTION,"INJECTION, ORAL, RECTAL",Prescription
OMNIPAQUE 210,IOHEXOL,NDA018956,GE HEALTHCARE,INJECTABLE,INJECTION,Discontinued
OMNIPAQUE 240,IOHEXOL,NDA018956,GE HEALTHCARE,SOLUTION,"INJECTION, ORAL, RECTAL",Prescription
OMNIPAQUE 300,IOHEXOL,NDA018956,GE HEALTHCARE,SOLUTION,"INJECTION, ORAL, RECTAL",Prescription
OMNIPAQUE 350,IOHEXOL,NDA018956,GE HEALTHCARE,SOLUTION,"INJECTION, ORAL",Prescription
OMNIPAQUE 70,IOHEXOL,NDA018956,GE HEALTHCARE,SOLUTION,URETHRAL,Discontinued
OMNIPAQUE 9,IOHEXOL,NDA018956,GE HEALTHCARE,SOLUTION,ORAL,Prescription
OMNIPEN (AMPICILLIN),AMPICILLIN/AMPICILLIN TRIHYDRATE,ANDA060624,WYETH AYERST,CAPSULE,ORAL,Discontinued
OMNIPEN-N,AMPICILLIN SODIUM,ANDA060626,WYETH AYERST,INJECTABLE,INJECTION,Discontinued
OMNIPRED,PREDNISOLONE ACETATE,NDA017469,SANDOZ,SUSPENSION/DROPS,OPHTHALMIC,Prescription
OMNISCAN,GADODIAMIDE,NDA022066,GE HEALTHCARE,INJECTABLE,INJECTION,Discontinued
OMNITROPE,SOMATROPIN,BLA021426,SANDOZ,INJECTABLE,INJECTION,Prescription
