brand_name,generic_name,application_number,sponsor_name,dosage_form,route,marketing_status
RADICAVA ORS,EDARAVONE,NDA215446,SHIONOGI,SUSPENSION,ORAL,Prescription
RADIOGARDASE (PRUSSIAN BLUE),FERRIC HEXACYANOFERRATE(II),NDA021626,HEYL CHEMISCH,CAPSULE,ORAL,Prescription
RADIOGENIX SYSTEM,TECHNETIUM TC-99M SODIUM PERTECHNETATE GENERATOR,NDA202158,NORTHSTAR MEDICAL,SOLUTION,"INTRAVENOUS, INTRAVESICULAR, OPHTHALMIC",Discontinued
RALDESY,TRAZODONE HYDROCHLORIDE,NDA218637,KAMAT,SOLUTION,ORAL,Prescription
RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,ANDA078193,TEVA PHARMS USA,TABLET,ORAL,Prescription
RALTEGRAVIR POTASSIUM,RALTEGRAVIR POTASSIUM,ANDA203540,HETERO LABS LTD III,TABLET,ORAL,Discontinued
RAMELTEON,RAMELTEON,ANDA215243,MICRO LABS,TABLET,ORAL,Prescription
RAMIPRIL,RAMIPRIL,ANDA077900,HIKMA,CAPSULE,ORAL,Prescription
RANEXA,RANOLAZINE,NDA021526,MENARINI INTL,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
RANICLOR,CEFACLOR,ANDA065092,RANBAXY LABS LTD,"TABLET, CHEWABLE",ORAL,Discontinued
RANITIDINE,RANITIDINE,ANDA074794,ACTAVIS ELIZABETH,Solution,Oral,None (Tentative Approval)
RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,ANDA076760,WOCKHARDT,TABLET,ORAL,Discontinued
RANLUSPEC,RANIBIZUMAB-HKDZ,BLA761480,LUPIN LIMITED,INJECTION,,Prescription
RANOLAZINE,RANOLAZINE,ANDA213517,I3 PHARMS,"TABLET, EXTENDED RELEASE",ORAL,Prescription
RAPAFLO,SILODOSIN,NDA022206,ABBVIE,CAPSULE,ORAL,Discontinued
RAPAMUNE,SIROLIMUS,NDA021110,PF PRISM CV,TABLET,ORAL,Prescription
RAPIBLYK,LANDIOLOL HYDROCHLORIDE,NDA217202,AOP HLTH US,POWDER,INTRAVENOUS,Prescription
RAPIVAB,PERAMIVIR,NDA206426,BIOCRYST,SOLUTION,INTRAVENOUS,Prescription
RAPLON,RAPACURONIUM BROMIDE,NDA020984,ORGANON USA INC,INJECTABLE,INJECTION,Discontinued
RASAGILINE MESYLATE,RASAGILINE MESYLATE,ANDA201892,CHARTWELL RX,TABLET,ORAL,Prescription
RASUVO,METHOTREXATE,NDA205776,MEDEXUS,SOLUTION,SUBCUTANEOUS,Discontinued
RAU-SED,RESERPINE,NDA009357,BRISTOL MYERS SQUIBB,TABLET,ORAL,Discontinued
RAUDIXIN,RAUWOLFIA SERPENTINA ROOT,NDA008842,APOTHECON,TABLET,ORAL,Discontinued
RAUSERPIN,RAUWOLFIA SERPENTINA ROOT,NDA009926,FERNDALE LABS,TABLET,ORAL,Discontinued
RAUTENSIN,ALSEROXYLON,NDA009215,NOVARTIS,TABLET,ORAL,Discontinued
RAUVAL,RAUWOLFIA SERPENTINA ROOT,NDA009108,PAL PAK,TABLET,ORAL,Discontinued
RAUWILOID,ALSEROXYLON,NDA008867,3M,TABLET,ORAL,Discontinued
RAUWOLFIA SERPENTINA,RAUWOLFIA SERPENTINA ROOT,ANDA080914,WATSON LABS,TABLET,ORAL,Discontinued
RAVICTI,GLYCEROL PHENYLBUTYRATE,NDA203284,HORIZON THERAP US,LIQUID,ORAL,Prescription
RAVOCAINE AND NOVOCAIN W/ LEVOPHED,NOREPINEPHRINE BITARTRATE; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE,NDA008592,EASTMAN KODAK,INJECTABLE,INJECTION,Discontinued
RAVOCAINE AND NOVOCAIN W/ NEO-COBEFRIN,LEVONORDEFRIN; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE,NDA008592,EASTMAN KODAK,INJECTABLE,INJECTION,Discontinued
RAXAR,GREPAFLOXACIN HYDROCHLORIDE,NDA020695,OTSUKA,TABLET,ORAL,Discontinued
RAXIBACUMAB,RAXIBACUMAB,BLA125349,HUMAN GENOME SCIENCES INC.,INJECTABLE,IV (INFUSION),Prescription
RAYALDEE,CALCIFEDIOL,NDA208010,EIRGEN,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
RAYOS,PREDNISONE,NDA202020,HORIZON,"TABLET, DELAYED RELEASE",ORAL,Discontinued
RAZADYNE,GALANTAMINE HYDROBROMIDE,NDA021169,JANSSEN PHARMS,TABLET,ORAL,Discontinued
RAZADYNE ER,GALANTAMINE HYDROBROMIDE,NDA021615,JANSSEN PHARMS,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
RBC-SCAN,TECHNETIUM TC-99M RED BLOOD CELL KIT,NDA020063,CADEMA,INJECTABLE,INJECTION,Discontinued
READI-CAT 2,BARIUM SULFATE,NDA208143,BRACCO,SUSPENSION,ORAL,Prescription
READI-CAT 2 SMOOTHIE,BARIUM SULFATE,NDA208143,BRACCO,SUSPENSION,ORAL,Prescription
READYPREP CHG,CHLORHEXIDINE GLUCONATE,NDA207964,MEDLINE INDUSTRIES,CLOTH,TOPICAL,Over-the-counter
REBETOL,RIBAVIRIN,NDA021546,SCHERING,SOLUTION,ORAL,Discontinued
REBIF,INTERFERON BETA-1A,BLA103780,SERONO INC,SYRINGE,,Prescription
REBLOZYL,LUSPATERCEPT-AAMT,BLA761136,CELGENE CORP,POWDER,SUBCUTANEOUS,Prescription
RECARBRIO,CILASTATIN SODIUM; IMIPENEM; RELEBACTAM,NDA212819,MSD MERCK CO,POWDER,INTRAVENOUS,Prescription
RECLAST,ZOLEDRONIC ACID,NDA021817,SANDOZ,INJECTABLE,INTRAVENOUS,Prescription
RECORLEV,LEVOKETOCONAZOLE,NDA214133,STRONGBRIDGE,TABLET,ORAL,Prescription
RECTIV,NITROGLYCERIN,NDA021359,ABBVIE,OINTMENT,INTRA-ANAL,Discontinued
REDEMPLO,PLOZASIRAN SODIUM,NDA219947,ARROWHEAD,SOLUTION,SUBCUTANEOUS,Prescription
REDISOL,CYANOCOBALAMIN,NDA006668,MERCK,INJECTABLE,INJECTION,Discontinued
REDITREX,METHOTREXATE,NDA210737,NORDIC GRP,SOLUTION,SUBCUTANEOUS,Discontinued
REGADENOSON,REGADENOSON,ANDA212806,MEITHEAL,SOLUTION,INTRAVENOUS,Prescription
REGITINE,PHENTOLAMINE MESYLATE,NDA008278,NOVARTIS,INJECTABLE,INJECTION,Discontinued
REGLAN,METOCLOPRAMIDE HYDROCHLORIDE,NDA018821,ROBINS AH,SOLUTION,ORAL,Discontinued
REGLAN ODT,METOCLOPRAMIDE HYDROCHLORIDE,NDA021793,MEDA PHARMS,"TABLET, ORALLY DISINTEGRATING",ORAL,Discontinued
REGONOL,PYRIDOSTIGMINE BROMIDE,NDA017398,SANDOZ,INJECTABLE,INJECTION,Prescription
REGORAFENIB,REGORAFENIB,ANDA209728,ACTAVIS LABS FL,TABLET,ORAL,Discontinued
REGRANEX,BECAPLERMIN,BLA103691,SMITH AND NEPHEW,GEL,TOPICAL,Prescription
REGROTON,CHLORTHALIDONE; RESERPINE,NDA015103,SANOFI AVENTIS US,TABLET,ORAL,Discontinued
